No,Date,Ticker,Category,Value,Timestamp,Close,Returns
1,38028,CWT,Utilities,0.9341805987997436,1076454000.0,14.72000027,start
2,38028,BLL,Process Industries,0.9228617858037828,1076454000.0,8.095000267,start
3,38028,APA,Energy Minerals,0.9121169589405737,1076454000.0,39.83000183,start
4,38028,MATX,Transportation,0.8669457111769054,1076454000.0,16.39410591,start
5,38028,ROST,Retail Trade,0.8647885710921392,1076454000.0,7.712500095,start
6,38028,BRO,Finance,0.8601050987037795,1076454000.0,8.87250042,start
7,38028,GFF,Producer Manufacturing,0.8537495640761625,1076454000.0,22.79999924,start
8,38028,HUBB,Producer Manufacturing,0.8500253453969924,1076454000.0,39.97999954,start
9,38028,SHW,Process Industries,0.8323032821503219,1076454000.0,11.97000027,start
10,38028,SM,Energy Minerals,0.8273696884117278,1076454000.0,14.97500038,start
11,38028,JBHT,Transportation,0.8052300772814623,1076454000.0,13.77499962,start
12,38028,DLX,Commercial Services,0.7991904408974928,1076454000.0,40.06999969,start
13,38028,TTC,Producer Manufacturing,0.7978637558991294,1076454000.0,5.960000038,start
14,38028,PCAR,Producer Manufacturing,0.7952581707718037,1076454000.0,24.80444336,start
15,38028,SSP,Consumer Services,0.7913582625822781,1076454000.0,131.1268921,start
16,38028,LII,Producer Manufacturing,0.7816603376228503,1076454000.0,18.68000031,start
17,38028,MGEE,Utilities,0.7772905374100227,1076454000.0,21.44000053,start
18,38028,CAA,Consumer Durables,0.77381089902996,1076454000.0,127.3499985,start
19,38028,NJR,Utilities,0.7683259677237528,1076454000.0,13.33333302,start
20,38028,SR,Utilities,0.76089849188817,1076454000.0,30.63999939,start
21,38028,AOS,Producer Manufacturing,0.7531756113532556,1076454000.0,5.349999905,start
22,38028,ESRX,Retail Trade,0.751687881316717,1076454000.0,8.613750458,start
23,38028,SSD,Producer Manufacturing,0.7488845632819424,1076454000.0,24.625,start
24,38028,ESE,Electronic Technology,0.7477271791951464,1076454000.0,23.46999931,start
25,38028,MSA,Consumer Durables,0.7374661696234709,1076454000.0,27.89999962,start
26,38028,IFF,Consumer Non-Durables,0.7231315002817417,1076454000.0,37.31000137,start
27,38028,DHI,Consumer Durables,0.7088288811255016,1076454000.0,22.91250038,start
28,38028,FCFS,Finance,0.6869237833916004,1076454000.0,10.6833334,start
29,38028,SWN,Energy Minerals,0.6860015978759929,1076454000.0,2.638750076,start
30,38028,KNX,Transportation,0.6797288311179227,1076454000.0,10.88888931,start
31,38028,CHH,Consumer Services,0.6791795594466459,1076454000.0,19.30500031,start
